Month,christmas: (Worldwide),new year: (Worldwide)
2004-01,5,16
2004-02,2,1
2004-03,2,1
2004-04,2,1
2004-05,2,<1
2004-06,2,<1
2004-07,3,<1
2004-08,4,1
2004-09,6,1
2004-10,12,1
2004-11,39,2
2004-12,100,7
2005-01,5,4
2005-02,2,8
2005-03,2,1
2005-04,2,1
2005-05,2,<1
2005-06,2,<1
2005-07,3,<1
2005-08,4,1
2005-09,6,1
2005-10,12,1
2005-11,40,1
2005-12,97,8
2006-01,5,14
2006-02,2,1
2006-03,2,1
2006-04,2,1
2006-05,2,<1
2006-06,2,<1
2006-07,3,<1
2006-08,3,1
2006-09,5,1
2006-10,12,1
2006-11,37,1
2006-12,90,7
2007-01,5,8
2007-02,2,5
2007-03,2,1
2007-04,2,1
2007-05,2,<1
2007-06,2,<1
2007-07,3,<1
2007-08,3,<1
2007-09,5,1
2007-10,11,1
2007-11,35,1
2007-12,85,8
2008-01,5,4
2008-02,2,5
2008-03,2,1
2008-04,2,1
2008-05,2,<1
2008-06,2,<1
2008-07,2,<1
2008-08,3,1
2008-09,5,1
2008-10,10,1
2008-11,30,1
2008-12,77,8
2009-01,5,6
2009-02,2,1
2009-03,2,1
2009-04,2,1
2009-05,2,<1
2009-06,2,<1
2009-07,2,<1
2009-08,3,1
2009-09,5,1
2009-10,10,1
2009-11,29,1
2009-12,77,9
2010-01,5,4
2010-02,2,3
2010-03,2,1
2010-04,2,1
2010-05,2,<1
2010-06,2,<1
2010-07,2,<1
2010-08,3,1
2010-09,4,1
2010-10,9,1
2010-11,29,1
2010-12,77,9
2011-01,6,6
2011-02,3,3
2011-03,2,1
2011-04,2,1
2011-05,2,1
2011-06,2,<1
2011-07,2,<1
2011-08,3,<1
2011-09,4,1
2011-10,9,1
2011-11,31,1
2011-12,80,11
2012-01,6,8
2012-02,3,1
2012-03,3,1
2012-04,2,1
2012-05,2,<1
2012-06,2,<1
2012-07,2,<1
2012-08,3,1
2012-09,5,1
2012-10,9,1
2012-11,31,1
2012-12,77,9
2013-01,5,5
2013-02,3,3
2013-03,2,1
2013-04,2,1
2013-05,2,<1
2013-06,2,<1
2013-07,2,<1
2013-08,3,1
2013-09,5,1
2013-10,9,1
2013-11,31,1
2013-12,84,12
2014-01,5,8
2014-02,2,1
2014-03,2,1
2014-04,2,1
2014-05,2,<1
2014-06,2,1
2014-07,2,1
2014-08,3,1
2014-09,5,2
2014-10,10,6
2014-11,32,4
2014-12,85,14
2015-01,5,8
2015-02,2,5
2015-03,2,1
2015-04,2,1
2015-05,2,1
2015-06,2,1
2015-07,2,1
2015-08,3,1
2015-09,5,1
2015-10,10,1
2015-11,35,1
2015-12,91,13
2016-01,6,8
2016-02,2,4
2016-03,2,1
2016-04,2,1
2016-05,2,1
2016-06,2,1
2016-07,3,1
2016-08,3,1
2016-09,6,1
2016-10,11,1
2016-11,39,1
2016-12,96,13
2017-01,6,9
2017-02,2,1
2017-03,2,1
2017-04,2,1
2017-05,2,1
2017-06,2,1
2017-07,3,1
2017-08,3,1
2017-09,6,1
2017-10,11,1
2017-11,44,1
2017-12,95,13
2018-01,6,7
2018-02,2,4
2018-03,2,1
2018-04,2,1
2018-05,2,1
2018-06,2,1
2018-07,3,1
2018-08,4,1
2018-09,6,1
2018-10,11,1
2018-11,42,1
2018-12,94,12
2019-01,6,8
2019-02,3,4
2019-03,2,1
2019-04,2,1
2019-05,2,1
2019-06,3,1
2019-07,3,1
2019-08,4,1
2019-09,7,1
2019-10,12,1
2019-11,39,1
2019-12,92,11
2020-01,6,11
2020-02,3,1
2020-03,2,1
2020-04,2,1
2020-05,2,1
2020-06,3,1
2020-07,3,1
2020-08,4,1
2020-09,6,1
2020-10,11,1
2020-11,40,1
2020-12,81,2
